Tienda,CR Tienda,Plaza.,CR Plaza,CERVEZA
Kahlua CUN,50JZ2,10CAN PlayaDelCarmen,10CAN,2
Juarez CUN,50JZS,10CAN PlayaDelCarmen,10CAN,2
Aventuras CUN,50KIQ,10CAN PlayaDelCarmen,10CAN,2
Cataluna CUN,50KQY,10CAN PlayaDelCarmen,10CAN,2
Colosio CUN,50KSY,10CAN PlayaDelCarmen,10CAN,2
Playcar CUN,50LAY,10CAN PlayaDelCarmen,10CAN,2
Sirenas CUN,50LJ1,10CAN PlayaDelCarmen,10CAN,2
La Toscana CUN,50LTK,10CAN PlayaDelCarmen,10CAN,2
Boca Paila CUN,50LZV,10CAN PlayaDelCarmen,10CAN,2
Mercurio CUN,50M1Z,10CAN PlayaDelCarmen,10CAN,2
Palermo CUN,50M2Z,10CAN PlayaDelCarmen,10CAN,2
Pedregal CUN,50MR4,10CAN PlayaDelCarmen,10CAN,2
Copacabana CUN,50MU0,10CAN PlayaDelCarmen,10CAN,2
Geminis CUN,50NMG,10CAN PlayaDelCarmen,10CAN,2
Trebol CUN,50NMO,10CAN PlayaDelCarmen,10CAN,2
Veintiseis CUN,50NSB,10CAN PlayaDelCarmen,10CAN,2
